schuljahr,halbjahr,klasse,fach,lehrer
2023,1,BF2A,D-DV,ARND
2023,1,BF2B,D-DV,ARND
2023,1,BF2C,D-DV,ARND
2023,1,MAKU2,MKM,STIP
2023,1,MAKU2,WSP,HEIN
2023,,MAKU2,SP,DIET
2023,1,MAKU2,E,SIEB
2023,1,H11H,D,HOLL
2023,1,BERA,BERAT,PIER
2023,1,GTM1,WSP,LUTI
2023,1,F13A,BIO,MEIN
2023,1,BF1B,GP,STRC
2023,1,BF1B,PP,EICH
2023,1,BF1B,PG,STUH
2023,1,BF1A,SP,BRAN
2023,1,BF1B,SP,BLEC
2023,1,GTM2,WSP,EMKE
2023,1,MAKO1,MKM,THIE
2023,1,MAKO1,WSP,SCUL
2023,1,MAKO1,FMC,DIET
2023,,FSHM1,WIF,SUTO
2023,,FSHM1,WR,STRC
2023,,FSHM1,BWL,RAMM
2023,,FSHM1,RW,WIGA
2023,,FSHM1,HM,GEHR
2023,,FSHM1,PW,HEMK
2023,,FSHM1,SL-BW,RAMM
2023,1,FHDO,E,DAGO
2023,1,FHDO,MA,ROES
2023,1,BAM,SBWL,PILA
2023,1,BAM,E,FABE
2023,1,EHM2,KR,SENG
2023,1,EHM4,KR,SENG
2023,1,EHM5,ER,KERS
2023,1,F13A,E,DAGO
2023,1,BF1A,E,STEC
2023,1,BF1B,E,STKG
2023,1,GBO,D,LANO
2023,1,BA3O,BWRW,LUTI
2023,1,BA3O,SBWL,SENG
2023,1,BA3O,E,COX
2023,1,GTO2,GHP,LUTI
2023,1,GTO2,WSP,EPPI
2023,1,GTO2,KSK,UPHO
2023,1,ITVM,STDM,SCWA
2023,1,ITVM,EVP,HINSE
2023,1,ITVM,EVP,SCOP
2023,1,ITVM,GID,LUKA
2023,1,AKM1,E,EWEN
2023,1,AKM1,KR,SCAE
2023,1,AKM1,D,SCHK
2023,1,AKM2,E,EWEN
2023,1,AKM2,KR,SCAE
2023,1,AKM2,D,SCHK
2023,1,KBU2,D,HOLL
2023,1,KBU3,D,HOLL
2023,1,BF1B,D-BT,STKG
2023,1,MAKM1,E,EWEN
2023,1,MEDM,E,EWEN
2023,1,MAKM2,E,SIEB
2023,1,FSHM2,MA,SUTO
2023,1,FSHM2,SL-M,SUTO
2023,1,FSHM2,BWL,HEMK
2023,1,FSHM2,RW,WIGA
2023,1,FSHM2,WIF,HUGO
2023,1,FSHM2,HM,STRC
2023,1,FSHM2,SL-HM,STRC
2023,1,FSHM2,PW,STRC
2023,,FSHM3,WR,STRC
2023,,FSHM3,D,WALK
2023,,FSHM3,BWL,EPPI
2023,,FSHM3,WIF,HUGO
2023,,FSHM3,HM,RAMM
2023,,FSHM3,SL-HM,RAMM
2023,,FSHM3,HM,GEHR
2023,,FSHM3,SL-HM,GEHR
2023,1,FVU1,E,WILM
2023,1,ECKU1,GEC,HEIN
2023,1,ECKU1,KSK,STRC
2023,1,ECKU1,E,DITT
2023,1,ECKM1,WSP,SCMI
2023,1,ECKM1,KSK,BERN
2023,1,ECKM1,E,DITT
2023,1,ECKM1,ER,KERS
2023,1,BAU1,BWRW,SENG
2023,1,BAU1,INWI,FUCH
2023,1,BAU1,SBWL,SALZ
2023,1,BAU1,BIO,KAMP
2023,1,BAU1,MA,KURZ
2023,1,BAU1,E,FABE
2023,1,BAU1,D,FABE
2023,1,BAU1,SP,BLEC
2023,1,BA3O,D-S,COX
2023,1,ECKU1,D-DV,HEIN
